shipment_id,inv_no,ship_date,carrier,tracking_bol
SHP-902353,INV-253569,2025-12-30,Lake Erie Parcel,BOL-4724223
SHP-420826,INV-253570,2025-12-30,Lake Erie Parcel,BOL-1294972
SHP-604505,INV-253574,2025-12-30,Midstate Freight Lines,BOL-4080739
SHP-973154,INV-253580,2025-12-30,Lake Erie Parcel,BOL-9606494
SHP-833648,INV-253564,2025-12-31,Midstate Freight Lines,BOL-3960323
SHP-319594,INV-253565,2025-12-31,Buckeye Regional Logistics,BOL-3995383
SHP-880774,INV-253568,2025-12-31,Buckeye Regional Logistics,BOL-9958091
SHP-733708,INV-253571,2025-12-31,Buckeye Regional Logistics,BOL-2799941
SHP-981410,INV-253572,2025-12-31,Buckeye Regional Logistics,BOL-8019415
SHP-191710,INV-253573,2025-12-31,Buckeye Regional Logistics,BOL-2136848
SHP-323327,INV-253575,2025-12-31,Lake Erie Parcel,BOL-2255418
SHP-147550,INV-253576,2025-12-31,Buckeye Regional Logistics,BOL-1943998
SHP-549603,INV-253577,2025-12-31,Buckeye Regional Logistics,BOL-5226712
SHP-901770,INV-253578,2025-12-31,Midstate Freight Lines,BOL-2565976
SHP-132970,INV-253579,2025-12-31,Buckeye Regional Logistics,BOL-6038940
SHP-625640,INV-253542,2026-01-02,Buckeye Regional Logistics,BOL-5600181
SHP-255937,INV-253559,2026-01-05,Lake Erie Parcel,BOL-1107824
SHP-379367,INV-253567,2026-01-06,Midstate Freight Lines,BOL-5640406
