check_no,paid_date,vendor,vendor_inv,inv_date,amount,description
ACH5039,2026-01-19,Apex Paper Products Inc.,APE-13337,2026-01-09,16560.84,Inventory purchase - January receipt
ACH5040,2026-01-20,Great Lakes Packaging LLC,GRE-21692,2025-12-24,21127.88,Inventory purchase
21441,2026-01-21,Great Lakes Packaging LLC,GRE-86550,2025-12-22,91664.51,Inventory purchase
ACH5042,2026-01-21,Ohio Valley Power and Light,OHI-22430,2025-12-18,16207.72,Electric/gas - December 2025
21443,2026-01-22,Apex Paper Products Inc.,APE-32699,2026-01-12,27634.48,Inventory purchase - January receipt
ACH5044,2026-01-23,Great Lakes Packaging LLC,GRE-13334,2025-12-31,31547.83,Inventory purchase
21445,2026-01-23,Buckeye Chemical Supply,BUC-61438,2026-01-15,32800.09,Inventory purchase - January receipt
ACH5046,2026-01-23,Nova Tissue Mills,NOV-39245,2026-01-15,35816.63,Inventory purchase - January receipt
ACH5047,2026-01-26,Wellman Staffing Group,WEL-99736,2025-12-26,26974.47,"Temp warehouse labor - weeks ending 12/19, 12/26"
21448,2026-01-26,Keller Dispenser Systems,KEL-37137,2026-01-16,19368.48,Inventory purchase - January receipt
ACH5049,2026-01-27,Northpoint IT Services,NIT-1367,2026-01-20,4115.72,Managed IT support - January 2026
ACH5050,2026-01-28,CleanCo Manufacturing,CLE-79213,2025-12-25,18402.55,Inventory purchase
21451,2026-01-29,Summit Trash Liner Co.,SUM-30851,2025-12-29,18332.79,Inventory purchase
ACH5052,2026-01-29,Great Lakes Packaging LLC,GRE-13075,2025-12-26,12201.17,Inventory purchase
ACH5053,2026-01-29,Wellman Staffing Group,WEL-13237,2026-01-23,10446.9,"Temp warehouse labor - weeks ending 1/9, 1/16"
ACH5054,2026-01-30,CleanCo Manufacturing,CLE-44393,2025-12-29,52115.66,Inventory purchase
ACH5055,2026-01-30,Nova Tissue Mills,NOV-28711,2025-12-29,22759.85,Inventory purchase
21456,2026-01-30,Keller Dispenser Systems,KEL-52436,2025-12-31,92061.55,Inventory purchase
ACH5057,2026-01-30,Lakeview Waste Hauling,LAK-48901,2025-12-31,2878.03,Waste hauling - December 2025
