inv_no,inv_date,ship_date,cust_id,customer,amount,memo,month
INV-250064,2025-01-09,2025-01-09,C1019,Lakeshore Cleaning Services Inc.,3817.4,Standing order,2025-01
INV-250065,2025-01-09,2025-01-08,C1022,Medina Auto Group,3293.29,,2025-01
INV-250066,2025-01-09,2025-01-09,C1022,Medina Auto Group,17648.28,,2025-01
INV-250067,2025-01-09,2025-01-09,C1023,Midwest Stadium Services Inc.,12396.75,,2025-01
INV-250068,2025-01-09,2025-01-08,C1028,Portage Cold Storage Company,3328.24,PO 43552,2025-01
INV-250069,2025-01-09,2025-01-08,C1030,Sandusky Marine and Supply,8103.86,PO 40153,2025-01
INV-250070,2025-01-09,2025-01-08,C1033,Summit Healthcare Group Inc.,9239.03,,2025-01
INV-250071,2025-01-09,2025-01-08,C1038,Westlake Commercial Cleaning Company,18398.18,Standing order,2025-01
INV-250072,2025-01-09,2025-01-08,C1040,Youngstown Metal Works Inc.,29457.71,,2025-01
INV-250073,2025-01-10,2025-01-09,C1002,Bayview Medical Center Inc.,22808.07,,2025-01
INV-250074,2025-01-10,2025-01-09,C1003,Cardinal Hospitality Group LLC,6430.98,,2025-01
INV-250075,2025-01-10,2025-01-10,C1012,Great Lakes Logistics Inc.,5464.63,Standing order,2025-01
INV-250076,2025-01-10,2025-01-10,C1020,Lorain Distribution Company,9945.12,PO 41171,2025-01
INV-250077,2025-01-10,2025-01-09,C1022,Medina Auto Group,16147.91,Standing order,2025-01
INV-250078,2025-01-10,2025-01-10,C1026,Parma Community College,5613.54,Standing order,2025-01
INV-250079,2025-01-10,2025-01-10,C1029,Riverside Fitness Clubs LLC,12220.15,Standing order,2025-01
INV-250080,2025-01-10,2025-01-10,C1030,Sandusky Marine and Supply,17372.25,,2025-01
INV-250081,2025-01-10,2025-01-10,C1033,Summit Healthcare Group Inc.,25812.31,,2025-01
INV-250082,2025-01-10,2025-01-09,C1035,Twinsburg Industrial Park LLC,4987.71,,2025-01
INV-250083,2025-01-10,2025-01-10,C1035,Twinsburg Industrial Park LLC,4367.99,,2025-01
INV-250084,2025-01-10,2025-01-10,C1040,Youngstown Metal Works Inc.,16946.03,Standing order,2025-01
INV-250085,2025-01-10,2025-01-09,C1040,Youngstown Metal Works Inc.,3795.79,,2025-01
INV-250086,2025-01-13,2025-01-12,C1003,Cardinal Hospitality Group LLC,2624.22,Standing order,2025-01
INV-250087,2025-01-13,2025-01-12,C1011,Garfield Industrial Company,8579.6,,2025-01
INV-250088,2025-01-13,2025-01-13,C1011,Garfield Industrial Company,10606.51,Standing order,2025-01
INV-250089,2025-01-13,2025-01-13,C1022,Medina Auto Group,2122.28,PO 42546,2025-01
INV-250090,2025-01-13,2025-01-12,C1022,Medina Auto Group,5220.72,,2025-01
INV-250091,2025-01-13,2025-01-12,C1025,Oak Ridge Office Parks,24054.4,PO 45329,2025-01
INV-250092,2025-01-13,2025-01-13,C1025,Oak Ridge Office Parks,1631.28,,2025-01
INV-250093,2025-01-13,2025-01-13,C1026,Parma Community College,16909.7,,2025-01
INV-250094,2025-01-13,2025-01-13,C1027,Pinnacle Building Services Inc.,3928.81,,2025-01
INV-250095,2025-01-13,2025-01-12,C1028,Portage Cold Storage Company,8911.69,,2025-01
INV-250096,2025-01-13,2025-01-13,C1029,Riverside Fitness Clubs LLC,8586.61,PO 44436,2025-01
INV-250097,2025-01-13,2025-01-13,C1035,Twinsburg Industrial Park LLC,7252.45,,2025-01
INV-250098,2025-01-13,2025-01-13,C1036,University Circle Services,9544.87,,2025-01
INV-250099,2025-01-13,2025-01-13,C1036,University Circle Services,2745.28,,2025-01
INV-250100,2025-01-14,2025-01-14,C1001,Allegheny Property Management LLC,10172.5,PO 46328,2025-01
INV-250101,2025-01-14,2025-01-14,C1003,Cardinal Hospitality Group LLC,4387.9,,2025-01
INV-250102,2025-01-14,2025-01-14,C1008,Evergreen Senior Living Inc.,5605.22,,2025-01
INV-250103,2025-01-14,2025-01-13,C1011,Garfield Industrial Company,6382.53,PO 48606,2025-01
INV-250104,2025-01-14,2025-01-14,C1011,Garfield Industrial Company,19894.71,PO 49888,2025-01
INV-250105,2025-01-14,2025-01-14,C1011,Garfield Industrial Company,46708.51,Standing order,2025-01
INV-250106,2025-01-14,2025-01-14,C1025,Oak Ridge Office Parks,5150.87,Standing order,2025-01
INV-250107,2025-01-14,2025-01-14,C1027,Pinnacle Building Services Inc.,12808.91,,2025-01
INV-250108,2025-01-14,2025-01-14,C1028,Portage Cold Storage Company,4090.73,,2025-01
INV-250109,2025-01-14,2025-01-13,C1031,Shaker Square Retail Partners,10460.1,Standing order,2025-01
INV-250110,2025-01-15,2025-01-15,C1001,Allegheny Property Management LLC,2423.79,,2025-01
INV-250111,2025-01-15,2025-01-15,C1002,Bayview Medical Center Inc.,10826.04,,2025-01
INV-250112,2025-01-15,2025-01-14,C1003,Cardinal Hospitality Group LLC,7909.99,Standing order,2025-01
INV-250113,2025-01-15,2025-01-15,C1004,Cedar Point Facility Services,7137.28,PO 44261,2025-01
INV-250114,2025-01-15,2025-01-15,C1022,Medina Auto Group,10856.95,,2025-01
INV-250115,2025-01-15,2025-01-15,C1025,Oak Ridge Office Parks,11112.45,Standing order,2025-01
INV-250116,2025-01-15,2025-01-15,C1026,Parma Community College,15978.23,,2025-01
INV-250117,2025-01-15,2025-01-15,C1026,Parma Community College,11355.84,Standing order,2025-01
INV-250118,2025-01-15,2025-01-15,C1033,Summit Healthcare Group Inc.,13354.82,PO 47700,2025-01
INV-250119,2025-01-15,2025-01-15,C1034,Tri-State Warehouse Company,20269.28,PO 47397,2025-01
INV-250120,2025-01-15,2025-01-14,C1035,Twinsburg Industrial Park LLC,4649.66,,2025-01
INV-250121,2025-01-15,2025-01-15,C1035,Twinsburg Industrial Park LLC,2202.12,Standing order,2025-01
INV-250122,2025-01-15,2025-01-15,C1035,Twinsburg Industrial Park LLC,2650.18,,2025-01
INV-250123,2025-01-15,2025-01-15,C1035,Twinsburg Industrial Park LLC,2280.61,,2025-01
INV-250124,2025-01-15,2025-01-15,C1038,Westlake Commercial Cleaning Company,2897.23,,2025-01
INV-250125,2025-01-15,2025-01-14,C1040,Youngstown Metal Works Inc.,24072.31,,2025-01
INV-250126,2025-01-15,2025-01-15,C1040,Youngstown Metal Works Inc.,13867.33,,2025-01
INV-250127,2025-01-15,2025-01-14,C1040,Youngstown Metal Works Inc.,7339.67,Standing order,2025-01
INV-250128,2025-01-16,2025-01-16,C1004,Cedar Point Facility Services,24627.54,PO 41510,2025-01
INV-250129,2025-01-16,2025-01-15,C1008,Evergreen Senior Living Inc.,30376.96,Standing order,2025-01
INV-250130,2025-01-16,2025-01-16,C1017,Ironwood Property Services,12134.09,,2025-01
INV-250131,2025-01-16,2025-01-16,C1023,Midwest Stadium Services Inc.,18233.48,PO 47767,2025-01
INV-250132,2025-01-16,2025-01-16,C1026,Parma Community College,7174.39,PO 48523,2025-01
INV-250133,2025-01-16,2025-01-16,C1029,Riverside Fitness Clubs LLC,2401.28,,2025-01
INV-250134,2025-01-16,2025-01-16,C1033,Summit Healthcare Group Inc.,21278.1,,2025-01
INV-250135,2025-01-16,2025-01-16,C1035,Twinsburg Industrial Park LLC,6859.45,PO 47811,2025-01
INV-250136,2025-01-16,2025-01-15,C1038,Westlake Commercial Cleaning Company,4412.52,,2025-01
INV-250137,2025-01-16,2025-01-16,C1040,Youngstown Metal Works Inc.,3678.97,,2025-01
INV-250138,2025-01-17,2025-01-17,C1001,Allegheny Property Management LLC,45314.81,,2025-01
INV-250139,2025-01-17,2025-01-16,C1002,Bayview Medical Center Inc.,4609.96,PO 44153,2025-01
INV-250140,2025-01-17,2025-01-17,C1002,Bayview Medical Center Inc.,8928.98,,2025-01
INV-250141,2025-01-17,2025-01-17,C1008,Evergreen Senior Living Inc.,13073.14,,2025-01
INV-250142,2025-01-17,2025-01-17,C1012,Great Lakes Logistics Inc.,14668.54,Standing order,2025-01
INV-250143,2025-01-17,2025-01-17,C1012,Great Lakes Logistics Inc.,35392.58,PO 44100,2025-01
INV-250144,2025-01-17,2025-01-17,C1012,Great Lakes Logistics Inc.,8310.05,,2025-01
INV-250145,2025-01-17,2025-01-17,C1015,Heritage Food Services Inc.,8027.6,,2025-01
INV-250146,2025-01-17,2025-01-17,C1023,Midwest Stadium Services Inc.,12243.94,Standing order,2025-01
INV-250147,2025-01-17,2025-01-17,C1023,Midwest Stadium Services Inc.,7393.15,,2025-01
INV-250148,2025-01-17,2025-01-17,C1029,Riverside Fitness Clubs LLC,7833.29,PO 44022,2025-01
INV-250149,2025-01-17,2025-01-17,C1034,Tri-State Warehouse Company,5775.88,PO 46750,2025-01
INV-250150,2025-01-20,2025-01-20,C1002,Bayview Medical Center Inc.,9035.53,,2025-01
INV-250151,2025-01-20,2025-01-20,C1008,Evergreen Senior Living Inc.,14997.53,PO 41367,2025-01
INV-250152,2025-01-20,2025-01-20,C1011,Garfield Industrial Company,4844.66,,2025-01
INV-250153,2025-01-20,2025-01-20,C1012,Great Lakes Logistics Inc.,8093.26,,2025-01
INV-250154,2025-01-20,2025-01-20,C1017,Ironwood Property Services,11066.95,,2025-01
INV-250155,2025-01-20,2025-01-19,C1017,Ironwood Property Services,3886.49,PO 44968,2025-01
INV-250156,2025-01-20,2025-01-20,C1026,Parma Community College,3545.83,Standing order,2025-01
INV-250157,2025-01-20,2025-01-19,C1029,Riverside Fitness Clubs LLC,5433.98,Standing order,2025-01
INV-250158,2025-01-20,2025-01-20,C1035,Twinsburg Industrial Park LLC,29327.17,PO 43524,2025-01
INV-250159,2025-01-20,2025-01-19,C1035,Twinsburg Industrial Park LLC,6500.76,Standing order,2025-01
INV-250160,2025-01-20,2025-01-20,C1035,Twinsburg Industrial Park LLC,12412.57,,2025-01
INV-250161,2025-01-20,2025-01-19,C1036,University Circle Services,8561.39,Standing order,2025-01
INV-250162,2025-01-20,2025-01-20,C1036,University Circle Services,1643.74,PO 41769,2025-01
INV-250163,2025-01-20,2025-01-20,C1036,University Circle Services,49587.31,,2025-01
INV-250164,2025-01-20,2025-01-20,C1038,Westlake Commercial Cleaning Company,8755.9,,2025-01
INV-250165,2025-01-20,2025-01-19,C1040,Youngstown Metal Works Inc.,11074.81,Standing order,2025-01
INV-250166,2025-01-20,2025-01-19,C1040,Youngstown Metal Works Inc.,18116.93,PO 41820,2025-01
INV-250167,2025-01-20,2025-01-20,C1040,Youngstown Metal Works Inc.,10495.28,,2025-01
INV-250168,2025-01-21,2025-01-21,C1002,Bayview Medical Center Inc.,4678.94,,2025-01
INV-250169,2025-01-21,2025-01-21,C1003,Cardinal Hospitality Group LLC,12641.84,,2025-01
INV-250170,2025-01-21,2025-01-20,C1006,Delmar Janitorial Services LLC,1943.76,,2025-01
INV-250171,2025-01-21,2025-01-20,C1006,Delmar Janitorial Services LLC,1705.83,,2025-01
INV-250172,2025-01-21,2025-01-21,C1012,Great Lakes Logistics Inc.,13901.28,PO 43994,2025-01
INV-250173,2025-01-21,2025-01-21,C1021,Maple Heights Facilities LLC,9842.91,,2025-01
INV-250174,2025-01-21,2025-01-21,C1022,Medina Auto Group,5321.78,,2025-01
INV-250175,2025-01-21,2025-01-21,C1023,Midwest Stadium Services Inc.,12095.12,,2025-01
INV-250176,2025-01-21,2025-01-21,C1026,Parma Community College,2963.58,PO 49313,2025-01
INV-250177,2025-01-21,2025-01-21,C1038,Westlake Commercial Cleaning Company,29375.08,PO 41202,2025-01
INV-250178,2025-01-21,2025-01-21,C1038,Westlake Commercial Cleaning Company,3792.46,,2025-01
INV-250179,2025-01-21,2025-01-20,C1040,Youngstown Metal Works Inc.,8783.22,,2025-01
INV-250180,2025-01-21,2025-01-21,C1040,Youngstown Metal Works Inc.,2947.38,,2025-01
INV-250181,2025-01-22,2025-01-22,C1011,Garfield Industrial Company,11178.53,PO 43000,2025-01
INV-250182,2025-01-22,2025-01-22,C1012,Great Lakes Logistics Inc.,5824.77,PO 47127,2025-01
INV-250183,2025-01-22,2025-01-21,C1018,Kent Valley Hospital,11895.1,,2025-01
INV-250184,2025-01-22,2025-01-22,C1023,Midwest Stadium Services Inc.,5112.63,PO 46790,2025-01
INV-250185,2025-01-22,2025-01-21,C1030,Sandusky Marine and Supply,1972.11,PO 43800,2025-01
INV-250186,2025-01-22,2025-01-22,C1035,Twinsburg Industrial Park LLC,3406.38,,2025-01
INV-250187,2025-01-22,2025-01-22,C1040,Youngstown Metal Works Inc.,13501.22,,2025-01
INV-250188,2025-01-23,2025-01-23,C1002,Bayview Medical Center Inc.,7408.19,,2025-01
INV-250189,2025-01-23,2025-01-23,C1018,Kent Valley Hospital,27327.24,PO 44373,2025-01
INV-250190,2025-01-23,2025-01-23,C1022,Medina Auto Group,2650.07,,2025-01
INV-250191,2025-01-23,2025-01-23,C1023,Midwest Stadium Services Inc.,4625.97,,2025-01
INV-250192,2025-01-23,2025-01-22,C1026,Parma Community College,12018.49,,2025-01
INV-250193,2025-01-23,2025-01-23,C1026,Parma Community College,13809.59,PO 41389,2025-01
INV-250194,2025-01-23,2025-01-23,C1030,Sandusky Marine and Supply,15235.37,,2025-01
INV-250195,2025-01-23,2025-01-23,C1032,Stark County Services,1738.25,,2025-01
INV-250196,2025-01-23,2025-01-23,C1035,Twinsburg Industrial Park LLC,4357.46,,2025-01
INV-250197,2025-01-23,2025-01-23,C1038,Westlake Commercial Cleaning Company,6088.08,,2025-01
INV-250198,2025-01-23,2025-01-23,C1038,Westlake Commercial Cleaning Company,12621.91,Standing order,2025-01
INV-250199,2025-01-23,2025-01-23,C1038,Westlake Commercial Cleaning Company,9184.0,PO 40505,2025-01
INV-250200,2025-01-23,2025-01-23,C1038,Westlake Commercial Cleaning Company,6106.5,,2025-01
INV-250201,2025-01-24,2025-01-23,C1002,Bayview Medical Center Inc.,7500.44,,2025-01
INV-250202,2025-01-24,2025-01-24,C1002,Bayview Medical Center Inc.,2906.3,,2025-01
INV-250203,2025-01-24,2025-01-24,C1008,Evergreen Senior Living Inc.,4105.35,Standing order,2025-01
INV-250204,2025-01-24,2025-01-24,C1011,Garfield Industrial Company,5472.79,,2025-01
INV-250205,2025-01-24,2025-01-24,C1011,Garfield Industrial Company,2903.07,,2025-01
INV-250206,2025-01-24,2025-01-23,C1012,Great Lakes Logistics Inc.,31283.2,Standing order,2025-01
INV-250207,2025-01-24,2025-01-23,C1014,Harborview Apartments LLC,5190.44,,2025-01
INV-250208,2025-01-24,2025-01-23,C1016,Highland Manufacturing Company,25190.76,,2025-01
INV-250209,2025-01-24,2025-01-24,C1026,Parma Community College,5558.88,,2025-01
INV-250210,2025-01-24,2025-01-24,C1026,Parma Community College,8811.52,Standing order,2025-01
INV-250211,2025-01-24,2025-01-24,C1026,Parma Community College,5407.16,,2025-01
INV-250212,2025-01-24,2025-01-24,C1030,Sandusky Marine and Supply,24197.35,PO 41348,2025-01
INV-250213,2025-01-24,2025-01-24,C1030,Sandusky Marine and Supply,8571.08,,2025-01
INV-250214,2025-01-24,2025-01-23,C1031,Shaker Square Retail Partners,18332.49,,2025-01
INV-250215,2025-01-24,2025-01-24,C1035,Twinsburg Industrial Park LLC,11212.59,Standing order,2025-01
INV-250216,2025-01-24,2025-01-23,C1038,Westlake Commercial Cleaning Company,5034.25,,2025-01
INV-250217,2025-01-24,2025-01-24,C1038,Westlake Commercial Cleaning Company,17200.26,,2025-01
INV-250218,2025-01-24,2025-01-24,C1040,Youngstown Metal Works Inc.,32472.58,,2025-01
INV-250219,2025-01-27,2025-01-27,C1005,Clearwater Janitorial Company,7869.01,Standing order,2025-01
INV-250220,2025-01-27,2025-01-27,C1012,Great Lakes Logistics Inc.,5214.81,PO 49356,2025-01
INV-250221,2025-01-27,2025-01-27,C1014,Harborview Apartments LLC,11064.25,,2025-01
INV-250222,2025-01-27,2025-01-27,C1018,Kent Valley Hospital,17982.84,,2025-01
INV-250223,2025-01-27,2025-01-27,C1025,Oak Ridge Office Parks,15649.25,,2025-01
INV-250224,2025-01-27,2025-01-27,C1027,Pinnacle Building Services Inc.,5704.17,Standing order,2025-01
INV-250225,2025-01-27,2025-01-26,C1028,Portage Cold Storage Company,5001.44,PO 47879,2025-01
INV-250226,2025-01-27,2025-01-27,C1028,Portage Cold Storage Company,18923.92,Standing order,2025-01
INV-250227,2025-01-27,2025-01-26,C1028,Portage Cold Storage Company,3546.32,,2025-01
INV-250228,2025-01-27,2025-01-27,C1033,Summit Healthcare Group Inc.,3486.15,,2025-01
INV-250229,2025-01-27,2025-01-27,C1035,Twinsburg Industrial Park LLC,5432.52,PO 41105,2025-01
INV-250230,2025-01-27,2025-01-27,C1036,University Circle Services,3444.66,,2025-01
INV-250231,2025-01-27,2025-01-27,C1038,Westlake Commercial Cleaning Company,6887.42,,2025-01
INV-250232,2025-01-27,2025-01-26,C1040,Youngstown Metal Works Inc.,13066.97,,2025-01
INV-250233,2025-01-27,2025-01-27,C1040,Youngstown Metal Works Inc.,3598.08,,2025-01
INV-250234,2025-01-28,2025-01-28,C1002,Bayview Medical Center Inc.,6174.47,,2025-01
INV-250235,2025-01-28,2025-01-28,C1002,Bayview Medical Center Inc.,3023.27,,2025-01
INV-250236,2025-01-28,2025-01-28,C1011,Garfield Industrial Company,10177.08,,2025-01
INV-250237,2025-01-28,2025-01-28,C1012,Great Lakes Logistics Inc.,11706.42,,2025-01
INV-250238,2025-01-28,2025-01-28,C1022,Medina Auto Group,4851.65,,2025-01
INV-250239,2025-01-28,2025-01-28,C1022,Medina Auto Group,9537.38,,2025-01
INV-250240,2025-01-28,2025-01-28,C1023,Midwest Stadium Services Inc.,8861.96,,2025-01
INV-250241,2025-01-28,2025-01-28,C1025,Oak Ridge Office Parks,9594.64,Standing order,2025-01
INV-250242,2025-01-28,2025-01-27,C1026,Parma Community College,13921.52,PO 42952,2025-01
INV-250243,2025-01-28,2025-01-27,C1026,Parma Community College,54893.82,,2025-01
INV-250244,2025-01-28,2025-01-28,C1027,Pinnacle Building Services Inc.,14737.98,,2025-01
INV-250245,2025-01-28,2025-01-28,C1030,Sandusky Marine and Supply,5930.67,,2025-01
INV-250246,2025-01-28,2025-01-27,C1035,Twinsburg Industrial Park LLC,3744.59,,2025-01
INV-250247,2025-01-28,2025-01-27,C1035,Twinsburg Industrial Park LLC,6969.08,,2025-01
INV-250248,2025-01-28,2025-01-27,C1038,Westlake Commercial Cleaning Company,2828.37,,2025-01
INV-250249,2025-01-28,2025-01-28,C1038,Westlake Commercial Cleaning Company,5171.75,Standing order,2025-01
INV-250250,2025-01-29,2025-01-29,C1002,Bayview Medical Center Inc.,5134.16,Standing order,2025-01
INV-250251,2025-01-29,2025-01-29,C1003,Cardinal Hospitality Group LLC,6379.52,,2025-01
INV-250252,2025-01-29,2025-01-29,C1008,Evergreen Senior Living Inc.,4804.06,Standing order,2025-01
INV-250253,2025-01-29,2025-01-28,C1008,Evergreen Senior Living Inc.,3147.06,PO 40721,2025-01
INV-250254,2025-01-29,2025-01-28,C1011,Garfield Industrial Company,2186.96,Standing order,2025-01
INV-250255,2025-01-29,2025-01-29,C1012,Great Lakes Logistics Inc.,10090.62,,2025-01
INV-250256,2025-01-29,2025-01-29,C1015,Heritage Food Services Inc.,1602.99,,2025-01
INV-250257,2025-01-29,2025-01-29,C1018,Kent Valley Hospital,2880.91,,2025-01
INV-250258,2025-01-29,2025-01-28,C1019,Lakeshore Cleaning Services Inc.,3061.97,,2025-01
INV-250259,2025-01-29,2025-01-29,C1019,Lakeshore Cleaning Services Inc.,4981.0,,2025-01
INV-250260,2025-01-29,2025-01-29,C1024,North Coast Restaurants LLC,14157.17,,2025-01
INV-250261,2025-01-29,2025-01-29,C1025,Oak Ridge Office Parks,4266.81,Standing order,2025-01
INV-250262,2025-01-29,2025-01-29,C1030,Sandusky Marine and Supply,8109.7,,2025-01
INV-250263,2025-01-29,2025-01-29,C1035,Twinsburg Industrial Park LLC,20092.47,,2025-01
INV-250264,2025-01-29,2025-01-29,C1035,Twinsburg Industrial Park LLC,6321.56,Standing order,2025-01
INV-250265,2025-01-29,2025-01-29,C1038,Westlake Commercial Cleaning Company,14896.12,PO 46544,2025-01
INV-250266,2025-01-29,2025-01-28,C1038,Westlake Commercial Cleaning Company,2557.85,Standing order,2025-01
INV-250267,2025-01-29,2025-01-28,C1040,Youngstown Metal Works Inc.,3479.79,,2025-01
INV-250268,2025-01-30,2025-01-29,C1001,Allegheny Property Management LLC,12407.62,,2025-01
INV-250269,2025-01-30,2025-01-30,C1002,Bayview Medical Center Inc.,6475.44,Standing order,2025-01
INV-250270,2025-01-30,2025-01-30,C1002,Bayview Medical Center Inc.,5549.95,,2025-01
INV-250271,2025-01-30,2025-01-30,C1002,Bayview Medical Center Inc.,5308.31,,2025-01
INV-250272,2025-01-30,2025-01-30,C1003,Cardinal Hospitality Group LLC,6375.22,,2025-01
INV-250273,2025-01-30,2025-01-30,C1003,Cardinal Hospitality Group LLC,1627.21,PO 40448,2025-01
INV-250274,2025-01-30,2025-01-29,C1005,Clearwater Janitorial Company,4859.96,,2025-01
INV-250275,2025-01-30,2025-01-29,C1008,Evergreen Senior Living Inc.,5713.76,Standing order,2025-01
INV-250276,2025-01-30,2025-01-30,C1012,Great Lakes Logistics Inc.,5039.16,,2025-01
INV-250277,2025-01-30,2025-01-30,C1014,Harborview Apartments LLC,6297.8,,2025-01
INV-250278,2025-01-30,2025-01-30,C1014,Harborview Apartments LLC,7044.91,,2025-01
