Date Rec'd,Payer,Ref Inv,Amt
01/05/26,Great Lakes Logistics Inc.,INV-253365,"4,239.29"
01/05/26,Sandusky Marine and Supply  ,INV-253383,"17,114.55"
01/05/26,Clearwater Janitorial Company,INV-253392,"11,696.03"
01/05/26,Garfield Industrial Company,INV-253395,"19,899.44"
01/05/26,Pinnacle Building Services Inc.,INV-253420,"5,503.97"
01/06/26,Fairlawn Public Schools,INV-253163,"3,684.20"
01/06/26,Parma Community College,INV-253199,"95,000.00"
01/06/26,WESTLAKE COMMERCIAL CLEANING COMPANY,INV-253203,"3,720.87"
01/06/26,Kent Valley Hospital,INV-253217,"3,945.13"
01/06/26,Parma Community College,INV-253236,"12,740.09"
01/06/26,Cardinal Hospitality Group LLC,INV-253296,"10,452.17"
01/06/26,Garfield Industrial Company,INV-253364,"2,421.78"
01/06/26,Youngstown Metal Works Inc.,INV-253387,"11,376.35"
01/06/26,Youngstown Metal Works Inc.,INV-253412,"3,732.86"
01/06/26,Cedar Point Facility Services,INV-253414,"8,891.55"
01/07/26,Parma Community College,INV-253222,"9,383.27"
01/07/26,Bayview Medical Center Inc.,INV-253282,"12,581.95"
01/07/26,Allegheny Property Management LLC,INV-253294,"1,960.81"
01/07/26,Cardinal Hospitality Group LLC,INV-253308,"20,905.45"
01/07/26,Portage Cold Storage Company,see remit,"18,845.49"
01/07/26,Twinsburg Industrial Park LLC,INV-253321,"4,668.27"
01/07/26,Bayview Medical Center Inc.,INV-253347,"11,321.82"
01/07/26,Garfield Industrial Company,INV-253351,"13,045.76"
01/07/26,Twinsburg Industrial Park LLC,INV-253370,"22,686.67"
01/07/26,Garfield Industrial Company,INV-253377,"19,543.75"
01/08/26,Clearwater Janitorial Company,INV-253264,"9,826.56"
01/08/26,Medina Auto Group,INV-253267,"4,788.77"
01/08/26,Heritage Food Services Inc.,INV-253277,"7,954.99"
01/08/26,Garfield Industrial Company,INV-253311,"26,216.19"
01/08/26,Sandusky Marine and Supply  ,INV-253318,"12,950.41"
01/08/26,Riverside Fitness Clubs LLC,INV-253329,"2,103.48"
01/08/26,Garfield Industrial Company,INV-253376,"3,034.23"
01/08/26,Westlake Commercial Cleaning Company,INV-253403,"1,470.97"
01/08/26,Garfield Industrial Company,INV-253439,"4,150.00"
01/08/26,Midwest Stadium Services Inc.,INV-253450,"1,832.31"
01/08/26,Sandusky Marine And Supply,INV-253461,"11,806.58"
01/08/26,Oak Ridge Office Parks,INV-253478,"6,121.14"
01/09/26,Summit Healthcare Group Inc.,INV-253165,"16,157.15"
01/09/26,Parma Community College,INV-253221,"3,622.55"
01/09/26,Heritage Food Services Inc.,INV-253314,"32,786.56"
01/09/26,Clearwater Janitorial Company,see remit,"3,901.96"
01/09/26,Summit Healthcare Group Inc.,INV-253358,"5,423.31"
01/09/26,Youngstown Metal Works Inc.,INV-253360,"12,703.56"
01/09/26,Cardinal Hospitality Group LLC,INV-253362,"12,304.56"
01/09/26,Allegheny Property Management LLC,INV-253390,"4,968.37"
01/09/26,Pinnacle Building Services Inc.,INV-253399,"6,831.50"
01/09/26,Midwest Stadium Services Inc.,INV-253419,"39,819.61"
01/12/26,University Circle Services,INV-253142,"11,906.86"
01/12/26,Stark County Services,INV-253200,"3,516.44"
01/12/26,Stark County Services,INV-253223,"3,857.97"
01/12/26,Kent Valley Hospital,INV-253232,"18,550.32"
01/12/26,Parma Community College,INV-253268,"18,926.95"
01/12/26,Medina Auto Group,see remit,"1,056.46"
01/12/26,Bayview Medical Center Inc.,INV-253295,"26,331.17"
01/12/26,Evergreen Senior Living Inc.,INV-253309,"11,952.77"
01/12/26,Portage Cold Storage Company,INV-253316,"6,087.31"
01/12/26,Twinsburg Industrial Park LLC,INV-253331,"25,796.54"
01/12/26,BAYVIEW MEDICAL CENTER INC.,INV-253348,"47,517.68"
01/12/26,Great Lakes Logistics Inc.,INV-253352,"15,958.44"
01/12/26,Highland Manufacturing Company,INV-253353,"2,403.77"
01/12/26,Westlake Commercial Cleaning Company,INV-253359,"7,325.32"
01/12/26,Heritage Food Services Inc.,INV-253367,"4,626.73"
01/12/26,Twinsburg Industrial Park LLC,INV-253371,"13,095.92"
01/12/26,Heritage Food Services Inc.,INV-253378,"1,659.31"
01/12/26,Twinsburg Industrial Park LLC,see remit,"13,595.33"
01/12/26,YOUNGSTOWN METAL WORKS INC.,INV-253388,"26,161.99"
01/12/26,Cardinal Hospitality Group LLC,INV-253391,"16,377.41"
01/12/26,Midwest Stadium Services Inc.,INV-253406,939.72
01/12/26,Portage Cold Storage Company,INV-253408,"23,842.66"
01/12/26,Youngstown Metal Works Inc.,INV-253411,"1,747.10"
01/12/26,Forest City Hotels and Resorts,INV-253416,"31,601.82"
01/12/26,Twinsburg Industrial Park LLC,INV-253422,"10,949.79"
01/12/26,Garfield Industrial Company,INV-253427,"2,062.94"
01/12/26,Harborview Apartments LLC,INV-253428,"5,087.85"
01/12/26,Twinsburg Industrial Park LLC,INV-253453,"10,987.04"
01/12/26,Sandusky Marine And Supply,INV-253460,"29,274.41"
01/12/26,Riverside Fitness Clubs LLC,see remit,"5,865.10"
01/12/26,Youngstown Metal Works Inc.,INV-253497,"4,530.11"
01/12/26,Great Lakes Logistics Inc.,INV-253499,"2,976.84"
01/13/26,Youngstown Metal Works Inc.,INV-252616,"11,375.80"
01/13/26,Westlake Commercial Cleaning Company,INV-253258,"5,680.33"
01/13/26,Bayview Medical Center Inc.,INV-253273,"12,398.29"
01/13/26,Evergreen Senior Living Inc.,INV-253274,"9,152.00"
01/13/26,Bayview Medical Center Inc.,INV-253283,"5,344.95"
01/13/26,CARDINAL HOSPITALITY GROUP LLC,INV-253334,"40,937.07"
01/13/26,Garfield Industrial Company,INV-253363,"12,098.92"
01/13/26,Heritage Food Services Inc.,INV-253366,"4,991.41"
01/13/26,Oak Ridge Office Parks,INV-253429,"23,057.26"
01/13/26,Youngstown Metal Works Inc.,INV-253448,"8,503.58"
01/13/26,Youngstown Metal Works Inc.,INV-253449,"10,461.44"
01/14/26,Youngstown Metal Works Inc.,INV-252426,"6,292.57"
01/14/26,Summit Healthcare Group Inc.,see remit,"9,361.36"
01/14/26,Westlake Commercial Cleaning Company,INV-253259,"11,192.74"
01/14/26,Parma Community College,INV-253327,"9,433.07"
01/14/26,Bayview Medical Center Inc.,INV-253333,"15,731.89"
01/14/26,Parma Community College,INV-253356,"6,370.36"
01/14/26,Youngstown Metal Works Inc.,INV-253373,"6,085.99"
01/14/26,Oak Ridge Office Parks,INV-253407,"5,855.46"
01/14/26,Oak Ridge Office Parks,INV-253430,"4,712.87"
01/14/26,Twinsburg Industrial Park LLC,INV-253482,"8,870.01"
01/14/26,Riverside Fitness Clubs LLC,INV-253490,"42,306.16"
01/14/26,Youngstown Metal Works Inc.,INV-253496,"3,019.60"
01/15/26,University Circle Services,INV-253240,"6,413.46"
01/15/26,University Circle Services,INV-253241,"10,891.78"
01/15/26,KENT VALLEY HOSPITAL,INV-253315,"14,192.82"
01/15/26,Bayview Medical Center Inc.,INV-253346,"3,212.35"
01/15/26,Garfield Industrial Company,INV-253417,"11,584.74"
01/15/26,Sandusky Marine and Supply,INV-253538,"17,435.94"
01/16/26,Medina Auto Group,INV-253324,"6,292.24"
01/16/26,Westlake Commercial Cleaning Company,see remit,"8,705.87"
01/16/26,Medina Auto Group  ,INV-253381,"10,828.84"
01/16/26,Evergreen Senior Living Inc.,INV-253393,"10,386.44"
01/16/26,Twinsburg Industrial Park LLC,INV-253401,"35,106.11"
01/16/26,Forest City Hotels and Resorts,INV-253405,"10,382.55"
01/16/26,Youngstown Metal Works Inc.,INV-253438,"8,951.33"
01/16/26,Oak Ridge Office Parks,INV-253477,"10,312.98"
01/16/26,Oak Ridge Office Parks,INV-253488,"40,890.26"
01/19/26,Bayview Medical Center Inc.,INV-253306,"13,756.23"
01/19/26,Bayview Medical Center Inc.,INV-253307,"23,011.73"
01/19/26,Shaker Square Retail Partners,INV-253330,"8,894.55"
01/19/26,Bayview Medical Center Inc.,INV-253332,"32,442.28"
01/19/26,Summit Healthcare Group Inc.,INV-253342,"4,296.66"
01/19/26,Kent Valley Hospital,INV-253354,"5,149.26"
01/19/26,Heritage Food Services Inc.  ,INV-253396,"8,447.07"
01/19/26,Medina Auto Group,INV-253398,"2,591.45"
01/19/26,Cedar Point Facility Services,INV-253415,"19,433.43"
01/19/26,Westlake Commercial Cleaning Company,see remit,"6,475.98"
01/19/26,Westlake Commercial Cleaning Company,INV-253434,"5,861.34"
01/19/26,Youngstown Metal Works Inc.,INV-253437,"14,857.45"
01/19/26,Oak Ridge Office Parks,INV-253451,"29,567.60"
01/19/26,Pinnacle Building Services Inc.,INV-253459,"10,689.69"
01/19/26,Twinsburg Industrial Park LLC,INV-253463,"2,407.86"
01/19/26,YOUNGSTOWN METAL WORKS INC.,INV-253468,"7,734.59"
01/19/26,Pinnacle Building Services Inc.,INV-253479,"9,382.71"
01/19/26,Riverside Fitness Clubs LLC,INV-253506,"15,686.56"
01/19/26,Cedar Point Facility Services,INV-253510,"20,931.19"
01/19/26,Pinnacle Building Services Inc.,INV-253537,"18,275.93"
01/19/26,Clearwater Janitorial Company,INV-253556,"1,317.30"
01/19/26,Great Lakes Logistics Inc.,INV-253558,"4,328.19"
01/19/26,Pinnacle Building Services Inc.,INV-253562,"2,422.43"
01/19/26,Sandusky Marine and Supply,INV-253573,"11,961.57"
01/20/26,University Circle Services,INV-252614,"1,911.86"
01/20/26,Summit Healthcare Group Inc.,INV-253201,"4,258.98"
01/20/26,Summit Healthcare Group Inc.,INV-253319,"17,038.84"
01/20/26,Heritage Food Services Inc.,INV-253338,"13,032.16"
01/20/26,Parma Community College,INV-253357,"18,008.93"
01/20/26,Evergreen Senior Living Inc.,INV-253394,"6,507.03"
01/20/26,Cardinal Hospitality Group LLC,INV-253426,"6,868.78"
01/20/26,Twinsburg Industrial Park LLC,INV-253462,"16,546.35"
01/20/26,Youngstown Metal Works Inc.,INV-253519,"6,034.48"
01/21/26,Heritage Food Services Inc.,INV-253337,"7,689.65"
01/21/26,Evergreen Senior Living,INV-253374,"4,571.76"
01/21/26,Fairlawn Public Schools  ,INV-253375,"4,632.15"
01/21/26,Kent Valley Hospital,INV-253397,"10,378.29"
01/21/26,Great Lakes Logistics Inc.,INV-253487,"3,136.17"
01/21/26,Twinsburg Industrial Park LLC,INV-253517,"5,034.51"
01/21/26,Garfield Industrial Company,INV-253522,"7,545.02"
01/21/26,Garfield Industrial Company,INV-253544,"8,241.01"
01/21/26,Midwest Stadium Services Inc.,INV-253560,"7,868.16"
01/22/26,Westlake Commercial Cleaning Company,INV-253402,"12,756.23"
01/22/26,Great Lakes Logistics Inc.,INV-253418,"20,578.89"
01/22/26,Allegheny Property Management LLC,INV-253425,"3,517.58"
01/22/26,Youngstown Metal Works Inc.,INV-253446,"1,804.38"
01/22/26,Youngstown Metal Works Inc.,INV-253447,"9,377.62"
01/22/26,Garfield Industrial Company,INV-253473,"1,866.28"
01/22/26,Oak Ridge Office Parks,INV-253504,"3,494.87"
01/22/26,Allegheny Property Management LLC,INV-253529,"23,908.09"
01/22/26,Youngstown Metal Works Inc.,INV-253540,"11,827.79"
01/23/26,Youngstown Metal Works Inc.,INV-252319,"4,561.45"
01/23/26,SHAKER SQUARE RETAIL PARTNERS,INV-253299,"4,792.87"
01/23/26,University Circle Services,INV-253344,"8,274.34"
01/23/26,Garfield Industrial Company,INV-253512,"5,813.57"
01/26/26,University Circle Services,INV-253239,"11,134.73"
01/26/26,University Circle Services,INV-253256,"5,680.32"
01/26/26,University Circle Services,INV-253291,"9,906.53"
01/26/26,Summit Healthcare Group Inc.,INV-253320,"4,528.67"
01/26/26,Stark County Services,INV-253400,"9,116.52"
01/26/26,Bayview Medical Center Inc.,INV-253413,"1,936.64"
01/26/26,Riverside Fitness Clubs LLC,INV-253432,"16,585.39"
01/26/26,Westlake Commercial Cleaning Company,INV-253435,"7,102.05"
01/26/26,Youngstown Metal Works Inc.,INV-253436,"12,548.80"
01/26/26,Parma Community College,INV-253441,"5,490.29"
01/26/26,Westlake Commercial Cleaning Company,INV-253444,"3,200.61"
01/26/26,Youngstown Metal Works Inc.,INV-253455,"9,774.07"
01/26/26,Twinsburg Industrial Park LLC,INV-253464,"4,066.96"
01/26/26,Westlake Commercial Cleaning Company,INV-253466,"14,455.19"
01/26/26,Youngstown Metal Works Inc.,INV-253467,"21,767.77"
01/26/26,Highland Manufacturing Company,INV-253474,"9,589.89"
01/26/26,Kent Valley Hospital,INV-253475,"10,323.76"
01/26/26,Westlake Commercial Cleaning Company,INV-253483,"44,760.08"
01/26/26,Westlake Commercial Cleaning Company,see remit,"14,227.38"
01/26/26,Forest City Hotels and Resorts,INV-253486,"5,727.38"
01/26/26,Riverside Fitness Clubs LLC,INV-253491,"7,295.98"
01/26/26,Westlake Commercial Cleaning Company,INV-253495,"6,908.10"
01/26/26,Garfield Industrial Company,INV-253498,"6,823.16"
01/26/26,Harborview Apartments LLC,INV-253500,"6,416.46"
01/26/26,Lorain Distribution Co.,INV-253503,"6,140.40"
01/26/26,Westlake Commercial Cleaning Company,INV-253509,"9,255.75"
01/26/26,Twinsburg Industrial Park LLC,INV-253526,"4,313.72"
01/26/26,Bayview Medical Center Inc.,INV-253554,"6,164.66"
01/26/26,Pinnacle Building Services,INV-253571,"2,486.05"
01/26/26,Tri-State Warehouse Company,INV-253575,"1,937.97"
01/26/26,Westlake Commercial Cleaning Company,INV-253579,"3,262.66"
01/27/26,Bayview Medical Center Inc.,INV-253361,"10,516.01"
01/27/26,Shaker Square Retail Partners  ,INV-253442,"2,921.21"
01/27/26,Shaker Square Retail Partners,INV-253443,"11,072.47"
01/27/26,Westlake Commercial Cleaning Company,INV-253485,"10,976.63"
01/27/26,Westlake Commercial Cleaning Company,INV-253494,"45,363.64"
01/27/26,Cardinal Hospitality Group LLC,INV-253521,"5,023.71"
01/28/26,Riverside Fitness Clubs LLC,INV-253548,"4,457.48"
01/29/26,SUMMIT HEALTHCARE GROUP INC.,INV-253384,"16,589.23"
01/29/26,Hamilton County Services  ,INV-253440,978.73
01/30/26,Kent Valley Hospital,INV-253379,"7,991.32"
01/30/26,Lakeshore Cleaning Services Inc.,INV-253380,"16,278.33"
01/30/26,University Circle Services,INV-253410,"5,536.29"
01/30/26,Westlake Commercial Cleaning Co.,INV-253445,"19,490.14"
01/30/26,Bayview Medical Center Inc.,INV-253456,"2,875.11"
01/30/26,Garfield Industrial Company,INV-253511,"10,799.83"
01/30/26,Youngstown Metal Works Inc.,INV-253528,"10,245.42"
01/30/26,Youngstown Metal Works Inc.  ,INV-253553,"8,711.65"
01/30/26,Cardinal Hospitality Group LLC,INV-253555,"13,682.77"
01/30/26,Riverside Fitness Clubs LLC,INV-253572,"9,094.48"
01/30/26,Kent Valley Hospital,INV-260192,"22,929.01"
01/30/26,Pinnacle Building Services Inc.,INV-260034,"17,235.83"
01/30/26,Portage Cold Storage Company,INV-260063,"15,979.10"
01/30/26,Garfield Industrial Company,INV-260053,"14,566.03"
01/30/26,Riverside Fitness Clubs LLC,INV-260383,"5,682.84"
01/30/26,Willoughby Tech Center,INV-260405,"26,059.71"
02/02/26,University Circle Services,INV-253322,"4,411.82"
02/02/26,UNIVERSITY CIRCLE SERVICES,INV-253386,"3,014.26"
02/02/26,Summit Healthcare Group Inc.,INV-253421,"4,448.36"
02/02/26,Parma Community College,INV-253452,"2,339.85"
02/02/26,Westlake Commercial Cleaning Company,see remit,"12,596.43"
02/02/26,Bayview Medical Center Inc.,INV-253469,"75,267.68"
02/02/26,Kent Valley Hospital,INV-253476,"20,717.66"
02/02/26,TWINSBURG INDUSTRIAL PARK LLC,INV-253508,"6,380.02"
02/02/26,Shaker Square Retail Partners,INV-253525,"5,072.58"
02/02/26,Bayview Medical Center Inc.,INV-253530,"2,662.69"
02/02/26,Evergreen Senior Living Inc.,INV-253543,"9,620.20"
02/02/26,Harborview Apartments LLC,INV-253545,"8,895.72"
02/02/26,Shaker Square Retail Partners,INV-253549,"3,292.12"
02/02/26,Parma Community College,INV-253561,"9,874.45"
02/02/26,Kent Valley Hospital,INV-253568,"5,371.61"
02/02/26,Oak Ridge Office Parks,INV-253570,"11,809.92"
02/02/26,Lorain Distribution Company,INV-260021,"28,492.59"
02/02/26,Highland Manufacturing Company,INV-260384,"2,743.81"
02/03/26,Medina Auto Group,INV-253457,"3,739.65"
02/03/26,Bayview Medical Center Inc.,INV-253472,"7,997.34"
02/03/26,Kent Valley Hospital,INV-253514,"2,902.23"
02/03/26,Medina Auto Group,INV-253534,"16,152.83"
02/03/26,Forest City Hotels and Resorts,INV-253557,"53,719.44"
02/03/26,Kent Valley Hospital,INV-260420,"14,322.70"
02/03/26,Riverside Fitness Clubs LLC,INV-260124,"18,477.27"
02/04/26,BAYVIEW MEDICAL CENTER INC.,INV-253404,"9,571.47"
02/04/26,Bayview Medical Center Inc.,INV-253520,"5,573.13"
02/04/26,Westlake Commercial Cleaning Company,INV-253580,"6,201.55"
02/04/26,Garfield Industrial Company,INV-260344,"20,094.17"
02/04/26,Great Lakes Logistics Inc.,INV-260246,"15,021.04"
02/04/26,Medina Auto Group,INV-260391,"9,488.53"
02/04/26,Great Lakes Logistics Inc.,INV-260100,"28,963.89"
02/04/26,Tri-State Warehouse Company,INV-260154,"15,533.54"
02/05/26,University Circle Svcs,INV-253454,"3,848.25"
02/05/26,Parma Community College,INV-253458,"16,168.15"
02/05/26,Heritage Food Services Inc.,INV-253501,"3,598.11"
02/05/26,Medina Auto Group,INV-253523,"2,067.20"
02/05/26,Ironwood Property Services,INV-253531,"5,734.85"
02/05/26,Parma Community College,INV-253535,"10,794.08"
02/05/26,Hamilton County Services,INV-260361,"3,018.37"
02/05/26,Lakeshore Cleaning Services Inc.,INV-260240,"3,823.51"
02/05/26,Harborview Apartments LLC,INV-260387,"22,044.14"
02/05/26,Twinsburg Industrial Park LLC,INV-260164,"6,669.98"
02/05/26,Great Lakes Logistics Inc.,INV-260155,"25,718.76"
02/05/26,University Circle Services,INV-260015,"7,401.81"
02/06/26,University Circle Services,INV-253423,"8,302.31"
02/06/26,Summit Healthcare Group Inc.,INV-253493,"15,109.73"
02/06/26,Kent Valley Hospital,INV-253502,"6,095.94"
02/06/26,Parma Community College,INV-253524,"2,542.02"
02/06/26,Westlake Commercial Cleaning Company,INV-253527,"4,231.84"
02/06/26,Harborview Apartments LLC,INV-253559,"49,833.51"
02/06/26,Twinsburg Industrial Park LLC,see remit,"2,413.04"
02/06/26,Sandusky Marine and Supply,INV-260288,"9,135.67"
02/06/26,Willoughby Tech Center,INV-260058,"26,994.21"
02/06/26,Riverside Fitness Clubs LLC,INV-260435,"5,495.21"
02/06/26,University Circle Services,INV-260315,"23,076.19"
02/06/26,Harborview Apartments LLC,INV-260177,"4,927.18"
02/06/26,Riverside Fitness Clubs LLC,INV-260055,"11,364.29"
02/06/26,Hamilton County Services,INV-260165,"19,040.30"
02/06/26,Twinsburg Industrial Park LLC,INV-260197,"25,603.91"
02/06/26,Harborview Apartments LLC,INV-260160,"24,823.00"
02/06/26,Harborview Apartments LLC,INV-260379,"8,859.08"
02/06/26,Tri-State Warehouse Company,INV-260149,"11,548.56"
02/06/26,University Circle Services,INV-260412,"24,085.32"
02/06/26,Valley View Hotels Inc.,INV-260146,"5,464.69"
02/06/26,Garfield Industrial Company,INV-260036,"22,725.60"
02/06/26,Lakeshore Cleaning Services Inc.,INV-260373,"26,302.16"
02/06/26,Westlake Commercial Cleaning Company,INV-260243,"15,437.14"
02/06/26,Willoughby Tech Center,INV-260166,"22,407.77"
02/09/26,University Circle Services,INV-252773,"2,182.04"
02/09/26,Parma Community College,INV-253431,"11,044.01"
02/09/26,Summit Healthcare Group Inc.,INV-253433,"46,161.42"
02/09/26,Bayview Medical Center,INV-253471,"20,241.39"
02/09/26,Stark County Services,see remit,"19,661.05"
02/09/26,Summit Healthcare Group Inc.,INV-253516,"5,282.21"
02/09/26,Medina Auto Group,INV-253547,"19,661.50"
02/09/26,Westlake Commercial Cleaning Company,INV-253551,"13,569.42"
02/09/26,Riverside Fitness Clubs LLC,INV-260026,"2,143.60"
02/09/26,Great Lakes Logistics Inc.,INV-260230,"25,941.56"
02/09/26,Oak Ridge Office Parks,INV-260206,"10,734.49"
02/09/26,Midwest Stadium Services Inc.,INV-260277,980.37
02/09/26,North Coast Restaurants LLC,INV-260100,"14,717.10"
02/09/26,Stark County Services,INV-260073,"22,757.68"
02/09/26,Maple Heights Facilities LLC,INV-260439,"11,107.86"
02/10/26,Parma Community College,INV-253489,"3,886.85"
02/10/26,Parma Community College,INV-253536,"3,842.53"
02/10/26,Oak Ridge Office Parks,INV-260362,"1,672.98"
02/10/26,Sandusky Marine and Supply,INV-260125,"18,504.72"
02/10/26,Kent Valley Hospital,INV-260200,"12,776.40"
02/10/26,Fairlawn Public Schools,INV-260378,"28,951.26"
02/11/26,Bayview Medical Center Inc.,INV-253470,"3,532.37"
02/11/26,Medina Auto Group,INV-253533,"6,736.65"
02/11/26,Youngstown Metal Works Inc.,INV-253552,"18,002.63"
02/11/26,Midwest Stadium Services Inc.,INV-260073,"19,582.30"
02/11/26,Ironwood Property Services,INV-260023,"21,276.36"
02/11/26,Twinsburg Industrial Park LLC,INV-260428,"27,793.87"
02/11/26,Tri-State Warehouse Company,INV-260394,"12,907.88"
02/11/26,Valley View Hotels Inc.,INV-260447,"26,849.35"
02/12/26,Medina Auto Group,INV-253569,"9,796.04"
02/12/26,Great Lakes Logistics Inc.,INV-260439,"6,706.24"
02/12/26,Shaker Square Retail Partners,INV-260255,"10,178.70"
02/12/26,Sandusky Marine and Supply,INV-260269,"15,378.35"
02/13/26,PARMA COMMUNITY COLLEGE,INV-253505,"6,870.64"
02/13/26,Parma Community College,INV-253515,"7,290.53"
02/13/26,Bayview Medical Center Inc.,INV-253565,"1,398.77"
02/13/26,Great Lakes Logistics Inc.,INV-260185,"22,425.45"
02/13/26,Maple Heights Facilities LLC,INV-260309,"11,665.97"
02/13/26,Great Lakes Logistics Inc.,INV-260311,"3,595.31"
02/13/26,Tri-State Warehouse Company,INV-260441,"19,895.36"
02/13/26,Willoughby Tech Center,INV-260308,"8,829.43"
02/13/26,Parma Community College,INV-260184,"2,634.43"
02/13/26,Kent Valley Hospital,INV-260206,"17,147.00"
02/13/26,Garfield Industrial Company,INV-260210,"11,948.49"
02/13/26,Highland Manufacturing Company,INV-260002,"25,704.07"
02/13/26,Eastgate Office Partners,INV-260097,"22,329.76"
02/13/26,Fairlawn Public Schools,INV-260354,"27,169.94"
02/13/26,Youngstown Metal Works Inc.,INV-260233,"19,485.13"
02/13/26,Summit Healthcare Group Inc.,INV-260369,"18,755.05"
02/16/26,Youngstown Metal Works Inc.,INV-252735,"13,929.44"
02/16/26,Summit Healthcare Group Inc.,INV-253507,"10,838.70"
02/16/26,University Circle Services,INV-253518,"27,321.06"
02/16/26,Lakeshore Cleaning Services Inc.,INV-253532,"14,803.56"
02/16/26,Bayview Medical Center Inc.,INV-253541,"15,495.23"
02/16/26,University Circle Services,INV-253563,"6,026.15"
02/16/26,Westlake Commercial Cleaning Company,INV-253578,"9,100.29"
02/16/26,Fairlawn Public Schools,INV-260346,"3,982.16"
02/16/26,Midwest Stadium Services Inc.,INV-260022,"15,185.13"
02/16/26,Ironwood Property Services,INV-260205,"2,277.72"
02/16/26,Evergreen Senior Living Inc.,INV-260064,"7,682.96"
02/17/26,University Circle Services,INV-252527,"18,033.26"
02/17/26,Medina Auto Group,INV-253546,"7,132.02"
02/17/26,North Coast Restaurants LLC,INV-260025,"20,807.97"
02/17/26,Evergreen Senior Living Inc.,INV-260173,"3,272.59"
02/17/26,Ironwood Property Services,INV-260049,"2,025.14"
02/17/26,Oak Ridge Office Parks,INV-260338,"24,301.48"
02/18/26,Heritage Food Services Inc.,INV-253513,"7,892.37"
02/18/26,Stark County Services,INV-253550,"9,876.77"
02/18/26,Bayview Medical Center Inc.,see remit,"1,650.77"
02/19/26,Great Lakes Logistics Inc.,INV-260413,"25,099.98"
02/19/26,Maple Heights Facilities LLC,INV-260027,"7,596.08"
02/19/26,Forest City Hotels and Resorts,INV-260142,"11,621.02"
02/20/26,University Circle Services,INV-253539,"13,665.57"
02/20/26,EVERGREEN SENIOR LIVING INC.,INV-253567,"53,186.78"
02/20/26,Great Lakes Logistics Inc.,INV-260431,"25,177.61"
02/20/26,University Circle Services,INV-260249,"17,580.75"
02/20/26,Maple Heights Facilities LLC,INV-260163,"26,801.26"
02/20/26,Lakeshore Cleaning Services Inc.,INV-260120,"8,977.85"
02/20/26,Maple Heights Facilities LLC,INV-260156,"11,848.57"
02/20/26,Lakeshore Cleaning Services Inc.,INV-260417,"10,688.85"
02/20/26,Forest City Hotels and Resorts,INV-260424,"27,270.83"
02/20/26,Lakeshore Cleaning Services Inc.,INV-260139,"7,929.49"
02/20/26,Twinsburg Industrial Park LLC,INV-260123,"23,164.22"
02/20/26,Stark County Services,INV-260296,"11,065.25"
02/23/26,Bayview Medical Center Inc.,INV-253542,"55,047.54"
02/23/26,Bayview Medical Center Inc.,INV-253566,"4,821.92"
02/23/26,SUMMIT HEALTHCARE GROUP INC.,INV-253574,"5,802.52"
