Inv #,Inv Date,Ship Dt,Customer,Amount,Memo
INV-250164,20-Jan-25,20-Jan-25,Westlake Commercial Cleaning Company,8755.90,
INV-250165,20-Jan-25,19-Jan-25,Youngstown Metal Works Inc.,11074.81,Standing order
INV-250166,20-Jan-25,19-Jan-25,YOUNGSTOWN METAL WORKS INC.,18116.93,PO 41820
INV-250167,01/20/2025,01/20/2025,Youngstown Metal Works Inc.,10495.28,
INV-250168,21-Jan-25,21-Jan-25,Bayview Medical Center Inc.,4678.94,
INV-250169,01/21/2025,01/21/2025,Cardinal Hospitality Group LLC,"$12,641.84",
INV-250170,2025-01-21,2025-01-20,Delmar Janitorial Services LLC,1943.76,
INV-250171,01/21/2025,01/20/2025,Delmar Janitorial Services LLC,1705.83,
INV-250172,01/21/2025,01/21/2025,GREAT LAKES LOGISTICS INC.,"$13,901.28",PO 43994
INV-250173,21-Jan-25,21-Jan-25,Maple Heights Facilities LLC,9842.91,
INV-250174,2025-01-21,2025-01-21,Medina Auto Group,5321.78,
INV-250175,2025-01-21,2025-01-21,Midwest Stadium Services Inc.,12095.12,
INV-250176,01/21/2025,01/21/2025,Parma Community College,2963.58,PO 49313
INV-250177,01/21/2025,01/21/2025,Westlake Commercial Cleaning Company,29375.08,PO 41202
INV-250178,01/21/2025,01/21/2025,Westlake Commercial Cleaning Company,"$3,792.46",
INV-250179,2025-01-21,2025-01-20,Youngstown Metal Works Inc.,8783.22,
INV-250180,01/21/2025,01/21/2025,Youngstown Metal Works Inc.,"$2,947.38",
INV-250181,2025-01-22,2025-01-22,Garfield Industrial Company,"$11,178.53",PO 43000
INV-250182,22-Jan-25,22-Jan-25,Great Lakes Logistics Inc.,5824.77,PO 47127
INV-250183,22-Jan-25,21-Jan-25,Kent Valley Hospital,11895.10,
INV-250184,2025-01-22,2025-01-22,Midwest Stadium Services Inc.,5112.63,PO 46790
INV-250185,2025-01-22,2025-01-21,Sandusky Marine and Supply,"$1,972.11",PO 43800
INV-250186,22-Jan-25,22-Jan-25,Twinsburg Industrial Park LLC,3406.38,
INV-250187,22-Jan-25,22-Jan-25,Youngstown Metal Works Inc.,13501.22,
INV-250188,23-Jan-25,23-Jan-25,Bayview Medical Center Inc.,"$7,408.19",
INV-250189,01/23/2025,01/23/2025,Kent Valley Hospital,27327.24,PO 44373
INV-250190,2025-01-23,2025-01-23,Medina Auto Group,2650.07,
INV-250191,23-Jan-25,23-Jan-25,Midwest Stadium Services Inc.,4625.97,
INV-250192,23-Jan-25,22-Jan-25,Parma Community College,12018.49,
INV-250193,01/23/2025,01/23/2025,Parma Community College,13809.59,PO 41389
INV-250194,01/23/2025,01/23/2025,Sandusky Marine and Supply,15235.37,
INV-250195,01/23/2025,01/23/2025,Stark County Services,1738.25,
INV-250196,2025-01-23,2025-01-23,Twinsburg Industrial Park LLC,4357.46,
INV-250197,23-Jan-25,23-Jan-25,Westlake Commercial Cleaning Company,6088.08,
INV-250198,23-Jan-25,23-Jan-25,Westlake Commercial Cleaning Company,"$12,621.91",Standing order
INV-250199,2025-01-23,2025-01-23,Westlake Commercial Cleaning Company,"$9,184.00",PO 40505
INV-250200,23-Jan-25,23-Jan-25,Westlake Commercial Cleaning Company,6106.50,
INV-250201,01/24/2025,01/23/2025,Bayview Medical Center Inc.,7500.44,
INV-250202,01/24/2025,01/24/2025,Bayview Medical Center Inc.,2906.30,
INV-250203,2025-01-24,2025-01-24,Evergreen Senior Living Inc.,4105.35,Standing order
INV-250204,24-Jan-25,24-Jan-25,Garfield Industrial Company,"$5,472.79",
INV-250205,01/24/2025,01/24/2025,Garfield Industrial Company,"$2,903.07",
INV-250206,24-Jan-25,23-Jan-25,Great Lakes Logistics Inc.,31283.20,Standing order
INV-250207,2025-01-24,2025-01-23,Harborview Apartments LLC,"$5,190.44",
INV-250208,2025-01-24,2025-01-23,Highland Manufacturing Company,"$25,190.76",
INV-250209,01/24/2025,01/24/2025,Parma Community College,5558.88,
INV-250210,24-Jan-25,24-Jan-25,Parma Community College,"$8,811.52",Standing order
INV-250211,2025-01-24,2025-01-24,Parma Community College,5407.16,
INV-250212,2025-01-24,2025-01-24,Sandusky Marine and Supply,24197.35,PO 41348
INV-250213,24-Jan-25,24-Jan-25,Sandusky Marine and Supply,8571.08,
INV-250214,01/24/2025,01/23/2025,Shaker Square Retail Partners,18332.49,
INV-250215,01/24/2025,01/24/2025,Twinsburg Industrial Park LLC,"$11,212.59",Standing order
INV-250216,2025-01-24,2025-01-23,Westlake Commercial Cleaning Company,5034.25,
INV-250217,01/24/2025,01/24/2025,Westlake Commercial Cleaning Company,17200.26,
INV-250218,2025-01-24,2025-01-24,Youngstown Metal Works Inc.,"$32,472.58",
INV-250219,2025-01-27,2025-01-27,Clearwater Janitorial Company,7869.01,Standing order
INV-250220,01/27/2025,01/27/2025,Great Lakes Logistics Inc.,5214.81,PO 49356
INV-250221,01/27/2025,01/27/2025,Harborview Apartments LLC,11064.25,
INV-250222,2025-01-27,2025-01-27,Kent Valley Hospital,17982.84,
INV-250223,01/27/2025,01/27/2025,Oak Ridge Office Parks,"$15,649.25",
INV-250224,27-Jan-25,27-Jan-25,Pinnacle Building Services Inc.,5704.17,Standing order
INV-250225,27-Jan-25,26-Jan-25,Portage Cold Storage Company,5001.44,PO 47879
INV-250226,01/27/2025,01/27/2025,PORTAGE COLD STORAGE COMPANY,"$18,923.92",Standing order
INV-250227,27-Jan-25,26-Jan-25,Portage Cold Storage Company,"$3,546.32",
INV-250228,01/27/2025,01/27/2025,Summit Healthcare Group Inc.,"$3,486.15",
INV-250229,01/27/2025,01/27/2025,Twinsburg Industrial Park LLC,5432.52,PO 41105
INV-250230,01/27/2025,01/27/2025,University Circle Services  ,3444.66,
INV-250231,27-Jan-25,27-Jan-25,Westlake Commercial Cleaning Company,6887.42,
INV-250232,01/27/2025,01/26/2025,Youngstown Metal Works Inc.,13066.97,
INV-250233,2025-01-27,2025-01-27,Youngstown Metal Works Inc.,3598.08,
INV-250234,01/28/2025,01/28/2025,Bayview Medical Center Inc.,"$6,174.47",
INV-250235,2025-01-28,2025-01-28,Bayview Medical Center,3023.27,
INV-250236,01/28/2025,01/28/2025,Garfield Industrial Company,10177.08,
INV-250237,28-Jan-25,28-Jan-25,Great Lakes Logistics,11706.42,
INV-250238,28-Jan-25,28-Jan-25,Medina Auto Group,4851.65,
INV-250239,2025-01-28,2025-01-28,Medina Auto Group  ,9537.38,
INV-250240,28-Jan-25,28-Jan-25,MIDWEST STADIUM SERVICES INC.,8861.96,
INV-250241,2025-01-28,2025-01-28,Oak Ridge Office Parks,9594.64,Standing order
INV-250242,28-Jan-25,27-Jan-25,Parma Community College,"$13,921.52",PO 42952
INV-250243,2025-01-28,2025-01-27,Parma Community College,54893.82,
INV-250244,2025-01-28,2025-01-28,Pinnacle Building Services Inc.,"$14,737.98",
INV-250245,28-Jan-25,28-Jan-25,Sandusky Marine and Supply,5930.67,
INV-250246,01/28/2025,01/27/2025,Twinsburg Industrial Park LLC,3744.59,
INV-250247,01/28/2025,01/27/2025,Twinsburg Industrial Park LLC,6969.08,
INV-250248,01/28/2025,01/27/2025,Westlake Commercial Cleaning Company,"$2,828.37",
INV-250249,2025-01-28,2025-01-28,Westlake Commercial Cleaning Company,5171.75,Standing order
INV-250250,01/29/2025,01/29/2025,Bayview Medical Center Inc.,"$5,134.16",Standing order
INV-250251,29-Jan-25,29-Jan-25,CARDINAL HOSPITALITY GROUP LLC,6379.52,
INV-250252,01/29/2025,01/29/2025,Evergreen Senior Living Inc.,4804.06,Standing order
INV-250253,29-Jan-25,28-Jan-25,Evergreen Senior Living Inc.,3147.06,PO 40721
INV-250254,29-Jan-25,28-Jan-25,Garfield Industrial Company,2186.96,Standing order
INV-250255,01/29/2025,01/29/2025,Great Lakes Logistics Inc.,"$10,090.62",
INV-250256,01/29/2025,01/29/2025,Heritage Food Services Inc.,1602.99,
INV-250257,29-Jan-25,29-Jan-25,Kent Valley Hospital,2880.91,
INV-250258,01/29/2025,01/28/2025,Lakeshore Cleaning Services Inc.,3061.97,
INV-250259,2025-01-29,2025-01-29,Lakeshore Cleaning Services Inc.,4981.00,
INV-250260,01/29/2025,01/29/2025,North Coast Restaurants LLC,14157.17,
INV-250261,01/29/2025,01/29/2025,Oak Ridge Office Parks,"$4,266.81",Standing order
INV-250262,01/29/2025,01/29/2025,Sandusky Marine and Supply,8109.70,
INV-250263,29-Jan-25,29-Jan-25,Twinsburg Industrial Park LLC,20092.47,
INV-250264,01/29/2025,01/29/2025,Twinsburg Industrial Park LLC,6321.56,Standing order
INV-250265,01/29/2025,01/29/2025,Westlake Commercial Cleaning Company,14896.12,PO 46544
INV-250266,29-Jan-25,28-Jan-25,Westlake Commercial Cleaning Company,"$2,557.85",Standing order
INV-250267,01/29/2025,01/28/2025,Youngstown Metal Works Inc.,"$3,479.79",
INV-250268,2025-01-30,2025-01-29,Allegheny Property Management LLC,12407.62,
INV-250269,2025-01-30,2025-01-30,Bayview Medical Center Inc.,"$6,475.44",Standing order
INV-250270,01/30/2025,01/30/2025,Bayview Medical Center Inc.,"$5,549.95",
INV-250271,30-Jan-25,30-Jan-25,Bayview Medical Center Inc.,"$5,308.31",
INV-250272,30-Jan-25,30-Jan-25,Cardinal Hospitality Group LLC,6375.22,
INV-250273,01/30/2025,01/30/2025,Cardinal Hospitality Group LLC,1627.21,PO 40448
INV-250274,30-Jan-25,29-Jan-25,Clearwater Janitorial Company,4859.96,
INV-250275,2025-01-30,2025-01-29,Evergreen Senior Living Inc.,5713.76,Standing order
INV-250276,2025-01-30,2025-01-30,Great Lakes Logistics Inc.  ,5039.16,
INV-250277,01/30/2025,01/30/2025,Harborview Apartments LLC,6297.80,
INV-250278,30-Jan-25,30-Jan-25,Harborview Apartments LLC,"$7,044.91",
INV-250279,01/30/2025,01/29/2025,Medina Auto Group,"$10,572.37",Standing order
INV-250280,30-Jan-25,30-Jan-25,Midwest Stadium Services Inc.,"$13,907.02",
INV-250281,01/30/2025,01/29/2025,Sandusky Marine and Supply,18646.61,
INV-250282,2025-01-30,2025-01-30,Youngstown Metal Works Inc.,14480.42,
INV-250283,2025-01-31,2025-01-30,Eastgate Office Partners,1772.94,
INV-250284,31-Jan-25,31-Jan-25,Stark County Services,10622.68,
INV-250285,31-Jan-25,31-Jan-25,University Circle Services,2180.12,Standing order
INV-250286,01/31/2025,01/31/2025,Willoughby Tech Center,"$15,184.55",PO 46051
INV-250287,31-Jan-25,30-Jan-25,Youngstown Metal Works Inc.,2630.27,
INV-250288,31-Jan-25,31-Jan-25,Youngstown Metal Works Inc.,13375.24,Standing order
,,,Subtotal - Jan 2025,"$2,857,499.68",
INV-250289,2025-02-03,2025-02-02,Bayview Medical Center Inc.,"$8,516.05",
INV-250290,2025-02-03,2025-02-03,BAYVIEW MEDICAL CENTER INC.,19988.13,
INV-250291,03-Feb-25,02-Feb-25,Delmar Janitorial Services LLC,5883.73,
INV-250292,03-Feb-25,03-Feb-25,Evergreen Senior Living Inc.,"$8,010.54",
INV-250293,02/03/2025,02/03/2025,Garfield Industrial Company,"$14,558.21",
INV-250294,02/03/2025,02/02/2025,Harborview Apartments LLC,14096.89,Standing order
INV-250295,02/03/2025,02/03/2025,Harborview Apartments LLC,5508.69,Standing order
INV-250296,03-Feb-25,02-Feb-25,Kent Valley Hospital,10689.26,Standing order
INV-250297,03-Feb-25,03-Feb-25,Midwest Stadium Services Inc.,"$8,427.52",
INV-250298,02/03/2025,02/03/2025,North Coast Restaurants LLC,11215.15,
INV-250299,2025-02-03,2025-02-02,Oak Ridge Office Parks,28177.97,PO 48140
INV-250300,02/03/2025,02/03/2025,Shaker Square Retail Partners,14918.49,Standing order
INV-250301,02/03/2025,02/03/2025,University Circle Services,39198.00,
INV-250302,02/03/2025,02/03/2025,Westlake Commercial Cleaning Co.,10662.83,Standing order
INV-250303,2025-02-03,2025-02-03,Westlake Commercial Cleaning Company,6162.87,Standing order
INV-250304,02/03/2025,02/03/2025,Westlake Commercial Cleaning Company  ,"$13,805.16",Standing order
INV-250305,02/04/2025,02/04/2025,Bayview Medical Center Inc.,"$17,514.69",
INV-250306,2025-02-04,2025-02-03,Cardinal Hospitality Group LLC,"$9,675.27",Standing order
INV-250307,02/04/2025,02/04/2025,EASTGATE OFFICE PARTNERS,17020.52,
INV-250308,04-Feb-25,04-Feb-25,Evergreen Senior Living Inc.,"$15,688.90",
INV-250309,02/04/2025,02/04/2025,Kent Valley Hospital,32504.44,Standing order
INV-250310,04-Feb-25,03-Feb-25,Parma Community College,23390.36,PO 41783
INV-250311,2025-02-04,2025-02-04,Stark County Services,11239.81,
INV-250312,04-Feb-25,04-Feb-25,Summit Healthcare Group Inc.,12870.38,Standing order
INV-250313,02/04/2025,02/04/2025,Youngstown Metal Works Inc.,"$5,274.88",
INV-250314,2025-02-05,2025-02-05,Harborview Apartments LLC,5759.32,
INV-250315,02/05/2025,02/05/2025,Harborview Apartments LLC,1645.65,
INV-250316,2025-02-05,2025-02-05,Midwest Stadium Services Inc.,"$7,672.55",Standing order
INV-250317,02/05/2025,02/04/2025,SANDUSKY MARINE AND SUPPLY,"$6,336.75",
INV-250318,2025-02-05,2025-02-05,Twinsburg Industrial Park LLC,"$17,794.76",PO 45129
INV-250319,05-Feb-25,05-Feb-25,Westlake Commercial Cleaning Company,"$2,263.67",PO 47963
INV-250320,02/05/2025,02/05/2025,Westlake Commercial Cleaning Company,7284.07,PO 46683
INV-250321,2025-02-06,2025-02-05,Bayview Medical Center Inc.,9847.46,
INV-250322,06-Feb-25,06-Feb-25,Bayview Medical Center Inc.,18729.89,Standing order
